#TYPE Deserialized.System.ServiceProcess.ServiceController
"Name","RequiredServices","PSComputerName","RunspaceId","PSShowComputerName","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","Status","ServiceType","StartType","Site","Container"
"ACCSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","ACC Service","",".","ACCSvc","","Running","Win32OwnProcess","Automatic",,
"AdobeARMservice","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Adobe Acrobat Update Service","",".","AdobeARMservice","","Running","Win32OwnProcess","Automatic",,
"Appinfo","RpcSs ProfSvc","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Application Information","",".","Appinfo","RpcSs ProfSvc","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppXSvc","rpcss staterepository","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","AppX Deployment Service (AppXSVC)","",".","AppXSvc","rpcss staterepository","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AudioEndpointBuilder","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Windows Audio Endpoint Builder","AarSvc_4924840 AarSvc Audiosrv",".","AudioEndpointBuilder","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","AudioEndpointBuilder RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Windows Audio","AarSvc_4924840 AarSvc",".","Audiosrv","AudioEndpointBuilder RpcSs","Running","Win32OwnProcess","Automatic",,
"BFE","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Base Filtering Engine",,".","BFE","RpcSs","Running","Win32ShareProcess","Automatic",,
"BluetoothUserService_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Bluetooth User Support Service_4924840","",".","BluetoothUserService_4924840","","Running","240","Manual",,
"BrokerInfrastructure","DcomLaunch RpcSs RpcEptMapper","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Background Tasks Infrastructure Service",,".","BrokerInfrastructure","DcomLaunch RpcSs RpcEptMapper","Running","Win32ShareProcess","Automatic",,
"BTAGService","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Bluetooth Audio Gateway Service","",".","BTAGService","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BthAvctpSvc","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","AVCTP service","",".","BthAvctpSvc","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Bluetooth Support Service","BluetoothUserService_4924840 BluetoothUserService",".","bthserv","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"camsvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Capability Access Manager Service","",".","camsvc","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"cbdhsvc_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Clipboard User Service_4924840","",".","cbdhsvc_4924840","","Running","240","Manual",,
"CDPSvc","Tcpip ncbservice RpcSS","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Connected Devices Platform Service","",".","CDPSvc","Tcpip ncbservice RpcSS","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Connected Devices Platform User Service_4924840","",".","CDPUserSvc_4924840","","Running","240","Automatic",,
"ClickToRunSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Microsoft Office Click-to-Run Service","",".","ClickToRunSvc","","Running","Win32OwnProcess","Automatic",,
"ClipSVC","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Client License Service (ClipSVC)","",".","ClipSVC","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CoreMessagingRegistrar","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","CoreMessaging","",".","CoreMessagingRegistrar","rpcss","Running","Win32ShareProcess","Automatic",,
"cphs","RPCSS","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Intel(R) Content Protection HECI Service","",".","cphs","RPCSS","Running","Win32OwnProcess","Manual",,
"cplspcon","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Intel(R) Content Protection HDCP Service","",".","cplspcon","","Running","Win32OwnProcess","Automatic",,
"CryptSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Cryptographic Services","applockerfltr AppIDSvc",".","CryptSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DcomLaunch","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","DCOM Server Process Launcher",,".","DcomLaunch","","Running","Win32ShareProcess","Automatic",,
"DeviceAssociationService","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Device Association Service","",".","DeviceAssociationService","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DevQueryBroker","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","DevQuery Background Discovery Broker","",".","DevQueryBroker","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Dhcp","Afd NSI","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","DHCP Client","NcaSvc jhi_service iphlpsvc WinHttpAutoProxySvc NcdAutoSetup AppVClient netprofm NlaSvc",".","Dhcp","Afd NSI","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DiagTrack","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Connected User Experiences and Telemetry","",".","DiagTrack","RpcSs","Running","Win32OwnProcess","Automatic",,
"DispBrokerDesktopSvc","RpcSS","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Display Policy Service","",".","DispBrokerDesktopSvc","RpcSS","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DisplayEnhancementService","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Display Enhancement Service","",".","DisplayEnhancementService","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Dnscache","nsi Afd","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","DNS Client","RemoteAccess RasMan NcaSvc",".","Dnscache","nsi Afd","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DoSvc","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Delivery Optimization","",".","DoSvc","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DPS","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Diagnostic Policy Service","",".","DPS","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DsSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Data Sharing Service","",".","DsSvc","","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DtsApo4Service","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","DtsApo4Service","",".","DtsApo4Service","","Running","Win32OwnProcess","Automatic",,
"DusmSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Data Usage","",".","DusmSvc","RpcSs","Running","Win32OwnProcess","Automatic",,
"Eaphost","RPCSS KeyIso","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Extensible Authentication Protocol","dot3svc",".","Eaphost","RPCSS KeyIso","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"esifsvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","True","False","True","Intel(R) Dynamic Tuning service","",".","esifsvc","","Running","Win32OwnProcess","Automatic",,
"EventLog","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Windows Event Log","uhssvc Wecsvc NcdAutoSetup AppVClient netprofm NlaSvc Killer Network Service",".","EventLog","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EventSystem","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","COM+ Event System","igfxCUIService2.0.0.0 COMSysApp SENS",".","EventSystem","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"fhsvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","File History Service","",".","fhsvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FontCache","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Windows Font Cache Service","",".","FontCache","","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FontCache3.0.0.0","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Windows Presentation Foundation Font Cache 3.0.0.0","",".","FontCache3.0.0.0","","Running","Win32OwnProcess","Manual",,
